,name,url,locations,website,28-06 jobs,28-06 employees
55,neosight,https://www.welcometothejungle.co/fr/companies/neosight,Levallois Perret,https://www.neosight.fr,3,40
56,Netino by Webhelp,https://www.welcometothejungle.co/fr/companies/netino-by-webhelp,Paris,https://netino.fr,2,37
57,Beam Advisory,https://www.welcometothejungle.co/fr/companies/beam-advisory,Paris,https://www.beamadvisory.com,5,19
58,YouStock,https://www.welcometothejungle.co/fr/companies/youstock,Nice  Monaco  Paris  Sophia-Antipolis,https://www.youstock.fr,6,16
59,WELMO,https://www.welcometothejungle.co/fr/companies/welmo,Paris,https://www.welmo.fr,3,17
60,Yurplan,https://www.welcometothejungle.co/fr/companies/yurplan,Lyon,https://yurplan.com,2,18
61,AlloVoisins,https://www.welcometothejungle.co/fr/companies/allovoisins,Rezé,https://www.allovoisins.com,2,20
62,Sipios,https://www.welcometothejungle.co/fr/companies/sipios,Paris,https://www.sipios.com,5,21
63,Nexenture,https://www.welcometothejungle.co/fr/companies/nexenture,Lyon  Paris,https://www.nexenture.fr,0,15
64,Glose,https://www.welcometothejungle.co/fr/companies/glose,Paris,https://glose.com,2,19
65,Académie du Service,https://www.welcometothejungle.co/fr/companies/academie-du-service,Paris,https://www.academieduservice.com,4,25
66,Shopping Feed,https://www.welcometothejungle.co/fr/companies/shopping-feed,Cachan,https://www.shopping-feed.com,3,40
67,Wazo,https://www.welcometothejungle.co/fr/companies/wazo,Québec  Paris,https://www.wazo.io,8,20
68,MesDocteurs,https://www.welcometothejungle.co/fr/companies/mesdocteurs,Paris  Cassis,https://www.mesdocteurs.com,4,17
69,Mon Vanity Idéal,https://www.welcometothejungle.co/fr/companies/mon-vanity-ideal,Paris  Rennes,https://www.monvanityideal.com,6,17
70,CallDesk,https://www.welcometothejungle.co/fr/companies/calldesk,Paris,https://www.calldesk.ai,5,23
71,INVIVOX,https://www.welcometothejungle.co/fr/companies/invivox,Pessac  Paris,https://www.invivox.com,2,17
72,Innovaxe,https://www.welcometothejungle.co/fr/companies/innovaxe,Neuville En Ferrain,https://www.innovaxe.fr,1,47
73,LOGAVIV,https://www.welcometothejungle.co/fr/companies/logaviv,Noisy-Le-Grand  Pau,https://www.logaviv.com,3,30
74,Seenk,https://www.welcometothejungle.co/fr/companies/seenk,Paris,https://www.seenk.com,2,27
75,weréso,https://www.welcometothejungle.co/fr/companies/wereso,Colombes  Lille  Lyon  Marseille  Paris  Valenciennes,https://www.wereso.com,8,22
76,Cultur’In The City,https://www.welcometothejungle.co/fr/companies/culturinthecity,Paris  Bordeaux  Brest Ou Paris  Lille  Lyon  Marseille  Nantes  Rennes,https://culturinthecity.com,7,27
77,By.O Group,https://www.welcometothejungle.co/fr/companies/by-o-group,Paris,https://byo-group.com,5,20
78,SQI,https://www.welcometothejungle.co/fr/companies/sqi,Versailles,https://www.sqi.fr,2,20
79,Balthazar,https://www.welcometothejungle.co/fr/companies/balthazar,Paris  Lyon,https://balthazar.org,3,40
80,KaraFun Group,https://www.welcometothejungle.co/fr/companies/karafun-group,Lille,https://www.karafun-group.com,5,30
81,Singulier,https://www.welcometothejungle.co/fr/companies/singulier,Paris,https://www.singulier.co,2,25
82,Klox Entertainement,https://www.welcometothejungle.co/fr/companies/klox,Paris,https://klox.fr,8,41
83,WEBPOPULATION,https://www.welcometothejungle.co/fr/companies/webpopulation,Paris,https://www.webpopulation.fr,6,41
84,Hivebrite,https://www.welcometothejungle.co/fr/companies/hivebrite,Paris  New York,https://hivebrite.com,11,35
85,Fred de la compta,https://www.welcometothejungle.co/fr/companies/fred-de-la-compta,Paris  Tours,https://www.freddelacompta.com,8,38
86,Tracktl,https://www.welcometothejungle.co/fr/companies/tracktl,Paris,https://www.tracktl.com,4,15
87,Castalie,https://www.welcometothejungle.co/fr/companies/castalie,Issy Les Moulineaux  Paris,https://www.castalie.com,16,45
88,Paris Attitude,https://www.welcometothejungle.co/fr/companies/paris-attitude,Paris,https://www.parisattitude.com,6,36
89,Southpigalle,https://www.welcometothejungle.co/fr/companies/southpigalle,Paris,https://www.southpigalle.io,6,40
90,Solaire Box,https://www.welcometothejungle.co/fr/companies/solaire-box,Paris  Fort-De-France,https://www.solairebox.fr,1,15
91,Dernier Cri,https://www.welcometothejungle.co/fr/companies/dernier-cri,Bordeaux  Lille  Paris,https://derniercri.io,1,38
92,Upply,https://www.welcometothejungle.co/fr/companies/upply,Paris  Lyon  Villeneuve-D'ascq,https://upply.com,15,25
93,Pollux,https://www.welcometothejungle.co/fr/companies/pollux,Paris,https://www.docapost.com,1,35
94,FieldBox.ai,https://www.welcometothejungle.co/fr/companies/fieldbox-ai,Bordeaux  Montreal  Paris  Singapore,https://www.fieldbox.ai,11,45
95,CréActifs,https://www.welcometothejungle.co/fr/companies/creactifs,Paris  Bordeaux  Rennes,https://creactifs.com,5,17
96,Infostrates,https://www.welcometothejungle.co/fr/companies/infostrates,Paris  Marseille,https://www.infostrates.fr,13,47
97,YESWEHACK,https://www.welcometothejungle.co/fr/companies/yeswehack,Paris  Allemagne  Rennes  Rouen  Singapour  Suisse,https://www.yeswehack.com,7,23
98,KeyOpsTech,https://www.welcometothejungle.co/fr/companies/keyopstech,Lyon  Abidjan  Abidjan Ou Dakar  Dakar  Ouagadougou,https://keyops.tech,7,30
99,OPnGO,https://www.welcometothejungle.co/fr/companies/opngo,Puteaux / La Defense  Paris,https://www.opngo.com,1,25
100,Chance,https://www.welcometothejungle.co/fr/companies/chance,Paris,https://www.chance.co,12,20
101,CAPITAL ENERGY,https://www.welcometothejungle.co/fr/companies/capital-energy,Paris  Saint Herblain,https://www.capitalenergy.fr,7,45
102,Wibilong,https://www.welcometothejungle.co/fr/companies/wibilong,Paris,https://www.wibilong.com,5,30
103,UBISTER,https://www.welcometothejungle.co/fr/companies/ubister,Paris,https://www.ubister.fr,3,20
104,Artik Consulting,https://www.welcometothejungle.co/fr/companies/artik-consulting,Paris,https://artik-consulting.com,2,41
105,Le Wagon,https://www.welcometothejungle.co/fr/companies/le-wagon,Paris  Berlin  Lille  London  Lyon  Marseille,https://www.lewagon.com,2,20
106,TacoTax,https://www.welcometothejungle.co/fr/companies/tacotax,Paris,https://www.tacotax.fr,4,18
107,LeLynx.fr,https://www.welcometothejungle.co/fr/companies/lelynx-fr,Paris  Chauny,https://www.lelynx.fr,5,40
108,Dronisos,https://www.welcometothejungle.co/fr/companies/dronisos,Bordeaux  Dubai  Orlando,https://www.dronisos.com,5,27
109,BlueBoard,https://www.welcometothejungle.co/fr/companies/blueboard,Paris,https://blueboard.io,4,22
110,Cambon Partners,https://www.welcometothejungle.co/fr/companies/cambon-partners,Paris,https://www.cambonpartners.com,1,40
111,Whoz,https://www.welcometothejungle.co/fr/companies/whoz,Paris,https://www.whoz.com,3,35
112,Popina,https://www.welcometothejungle.co/fr/companies/popina,Pantin,https://www.popina.com,1,35
113,Fidesio,https://www.welcometothejungle.co/fr/companies/fidesio,Paris  Ho Chi Minh,https://www.fidesio.com,11,45
114,Beemoov SAS,https://www.welcometothejungle.co/fr/companies/beemoov-sas,Nantes,https://www.beemoov.com,6,47
115,World Gaming Federation,https://www.welcometothejungle.co/fr/companies/world-gaming-federation,Paris,https://about.wgf.gg,0,19
116,CNFPI,https://www.welcometothejungle.co/fr/companies/cnfpi,Paris,https://www.cnfpi.fr,0,25
117,BYHOURS,https://www.welcometothejungle.co/fr/companies/byhours,Barcelona,https://www.byhours.com,7,39
118,Ferpection,https://www.welcometothejungle.co/fr/companies/ferpection,Paris,https://ferpection.com,0,20
119,Cepheïd Consulting,https://www.welcometothejungle.co/fr/companies/cepheid-consulting,Paris,https://www.cepheid-consulting.com,2,15
120,Evermaps,https://www.welcometothejungle.co/fr/companies/evermaps,Paris,https://www.evermaps.com,4,30
121,MFG LABS,https://www.welcometothejungle.co/fr/companies/mfg-labs,Paris,https://mfglabs.com,2,38
122,Qualia Systèmes,https://www.welcometothejungle.co/fr/companies/qualia-systemes,Paris,https://www.qualia.fr,0,17
123,appvizer,https://www.welcometothejungle.co/fr/companies/appvizer,Montpellier,https://www.appvizer.fr,6,18
124,WAM-Référencement,https://www.welcometothejungle.co/fr/companies/wam-referencement,Lyon,https://www.wam-referencement.fr,2,22
125,Le Closet,https://www.welcometothejungle.co/fr/companies/le-closet,Paris,https://www.lecloset.fr,2,30
126,Cap Collectif,https://www.welcometothejungle.co/fr/companies/cap-collectif,Paris,https://cap-collectif.com,4,23
127,SeDomicilier,https://www.welcometothejungle.co/fr/companies/sedomicilier,Paris,https://sedomicilier.fr,2,20
